4,22,0.07773,892334644
749,1088,0.00014,881602596
1,66,0.01803,878543030
853,245,0.00623,879365091
416,187,0.00751,893214128
852,568,0.00326,891037947
763,157,0.00573,878917467
804,763,0.00171,879443776
536,62,0.01529,882360873
745,12,0.10872,880123905
762,256,0.00042,878719448
417,20,0.02186,880949408
907,147,0.00881,885862325
187,209,0.00564,879465370
14,42,0.0262,879119579
897,168,0.01338,879991341
595,591,0.00222,886921344
472,581,0.00082,875981551
364,286,0.01094,875931309
347,276,0.00679,881652657
207,68,0.01516,877125350
477,553,0.00091,875941155
445,752,0.00051,891199167
397,615,0.00083,885349562
450,155,0.00421,882396564
276,42,0.0262,874791623
327,133,0.00906,887745662
229,344,0.001,891633028
929,483,0.00361,879640036
916,132,0.01245,880844597
295,67,0.01135,879519042
782,1399,8e-05,891498919
577,168,0.01338,880472124
933,569,0.00095,874938850
145,266,0.00099,877343000
457,162,0.00427,882548793
132,124,0.01074,891278996
1,82,0.02336,878542589
867,175,0.0082,880078818
606,685,0.00211,880923349
104,678,0.00283,888442404
935,476,0.00266,884472465
378,21,0.02383,880044944
544,1280,0.00019,884795542
417,56,0.04815,879647519
244,318,0.00588,880603082
846,580,0.00045,883949335
299,186,0.00896,889503233
280,22,0.07773,891700552
1,78,0.00351,878543176
407,177,0.00509,887833034
483,199,0.00568,882165665
719,620,0.00054,879359034
476,201,0.00308,883364324
452,521,0.00162,885545770
84,748,0.00376,883449530
305,196,0.00806,886324097
875,289,0.00595,876464800
417,77,0.01409,879649304
457,1221,0.00042,882549438
758,827,0.00062,882055257
354,45,0.01339,891218046
497,163,0.00393,879363181
416,432,0.003,878879861
497,951,0.00044,879363695
373,197,0.0082,877099352
244,3,0.13688,880602451
130,248,0.00412,874953769
655,356,0.00183,887430804
406,675,0.00074,879792897
543,651,0.00212,877546306
736,286,0.01094,878709365
454,50,0.08164,881959144
304,111,0.01697,884968264
653,1478,0.0002,880153705
257,289,0.00595,879029543
94,410,0.00284,891721494
241,887,0.00072,887249685
868,480,0.00274,877103280
923,273,0.00533,880387474
401,724,0.00108,891033319
51,679,0.00133,883498937
73,514,0.00266,888626153
733,696,0.00097,879535909
194,208,0.00626,879521329
58,121,0.02514,892242300
681,310,0.00292,885409572
629,319,0.00335,880116722
109,356,0.00183,880578711
524,96,0.02279,884635172
437,166,0.00243,880140398
318,4,0.23324,884497516
416,172,0.01445,893213796
598,269,0.00747,886710494
13,508,0.00293,882140426
270,306,0.00206,876953744
12,276,0.00679,879959488
374,31,0.02911,880396659
86,327,0.00356,879570218
532,1312,9e-05,888631036
276,551,0.0003,874792767
271,117,0.02177,886106003
533,1174,0.0001,882821669
224,893,0.00017,888082350
848,1126,0.00031,887043265
576,9,0.1589,887168978
689,121,0.02514,876676433
374,82,0.02336,880394484
435,317,0.00211,884132483
188,226,0.00469,875074266
118,98,0.02731,875384979
623,127,0.02264,891032275
344,95,0.01646,884901180
902,87,0.01218,879465834
489,988,0.00086,891446982
897,187,0.00751,879990622
238,1258,0.00026,883576666
308,546,0.00374,887740500
932,1451,0.00014,891249675
642,732,0.00221,885605538
452,187,0.00751,875265265
776,174,0.01629,891629157
330,286,0.01094,876543768
222,101,0.00508,878183539
798,945,0.00046,875743518
250,204,0.01139,878091682
916,213,0.00345,880844675
805,648,0.00086,881696729
880,435,0.00351,880167778
679,69,0.03181,884487688
11,94,0.01004,891905324
748,137,0.00835,879454958
622,154,0.00828,882669740
186,684,0.00216,879023599
537,91,0.01012,886031438
38,82,0.02336,892429903
442,42,0.0262,883388401
402,273,0.00533,876267014
156,157,0.00573,888185906
286,301,0.00498,879780879
643,356,0.00183,891448218
122,511,0.00263,879270084
283,210,0.01035,879298206
615,527,0.0028,879448399
297,24,0.0435,874954260
690,127,0.02264,881178213
92,410,0.00284,875640583
401,282,0.00525,891032584
49,919,0.00117,888066133
705,1544,3e-05,883427691
870,508,0.00293,881001249
767,177,0.00509,891462614
639,168,0.01338,891240678
457,1210,0.00037,882549905
618,25,0.06717,891308260
365,285,0.00388,891303999
200,215,0.00595,884129346
405,232,0.00277,885547314
405,1221,0.00042,885546155
217,825,0.00094,889070266
416,210,0.01035,893213918
655,1257,4e-05,887433685
608,603,0.00284,880403537
49,358,0.00282,888065805
31,303,0.00273,881547719
346,64,0.03213,874948214
487,432,0.003,883447015
639,135,0.01321,891239239
938,678,0.00283,891356282
274,405,0.00606,878945840
712,585,0.00047,874730234
606,537,0.00038,880925074
454,463,0.00127,888267560
